,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT2293,336.861808494273,8.074691935221349,4812.600346284407,2937.2681164844303,1021.2784249549121
FT2294,336.965867726585,5.0823232014974,2469.6720449607283,1951.0715354870242,2130.9517228624213
FT2296,337.064055265208,6.270966593424483,1767.1771006237818,1162.326534347043,1675.3970808945364
FT2297,337.053306363669,5.140517171223967,10489.6316250587,6487.942617137648,6631.638917153925
FT2298,337.141701201793,1.7990512847900333,6370.911940197978,6277.763342603083,6091.464592192868
FT2299,337.237718700143,0.9026112874348967,25540.578275262837,20631.256229505478,20133.053682669582
FT2300,337.310233134836,0.8182247922263216,10304.711248321853,10127.857139972413,11025.70163270332
FT2302,337.90548627819,0.668598769632975,1333938.1391071912,579531.4899896886,417898.22932443296
FT2304,338.036204761996,4.010066666667,4961.017788631718,4339.767013320118,4416.020423385164
FT2305,338.242835867423,0.917966666667,2864.907988129236,3124.868863146953,2322.43083972566
FT2308,339.199117365516,0.7849826176961266,91152.02336002878,86084.15916659687,75173.11176227986
FT2309,339.166718523653,1.2283881505330398,14458.268848974443,15513.125137300165,13340.229746067358
FT2310,339.139757079914,6.054849751790367,2054.323442692599,1217.914170232133,609.9259819063434
FT2311,339.121689449814,4.857900492350267,1496.8759319567914,963.2322573120886,1322.234454340665
FT2312,339.233097878238,0.9345921134947067,1283758.3293126076,1158068.1787441971,1065132.8948839807
FT2313,339.326626009061,0.8182247922263216,229445.58724108944,206181.710516283,170139.28563681143
FT2316,340.046000221859,3.27693049112955,4089.8430672484233,1455.7766604714443,785.3529589883733
FT2317,340.202595361688,0.7932913088480633,24599.193390321518,17435.2126925425,20144.754809481718
FT2318,340.167559298909,1.2283881505330398,2362.789793208996,3159.9345345654065,3127.3703557893823
FT2320,340.007062666609,0.6852310816446933,0.0,3242.2355614625158,2884.3281257036665
FT2321,340.236364141619,0.9345921134947067,360920.32528108143,310978.32022317935,324158.2298238405
FT2322,340.330005265247,0.8265414588928216,56576.861528960995,43732.62047718979,46513.49576678234
FT2324,340.859715769708,11.141866048177084,5490.112556251817,3635.867984447917,4270.431551530709
FT2329,341.171428881645,5.3566345214843665,7888.750532052479,5254.706233817943,5593.3805491124585
FT2331,341.150047622212,6.121341579183116,2870.0658559066214,1914.7031290769703,1969.41770758674
FT2333,341.239074079587,0.919754219055175,52687.44525736087,46334.06304537423,46397.29442348099
FT2334,341.268958339538,0.8348498662312834,40458.75531954902,33758.896020472406,34840.977693556335
FT2335,342.026640121218,0.6686,26545.077909602373,18684.723835647128,21140.114022773138
FT2337,342.241486558386,0.9188608169555667,7340.501888143646,5820.226050679255,7098.195946115458
FT2338,342.271632759492,0.8348499331156417,14826.92939329761,9182.386826689375,10342.36900971378
FT2339,343.056602829063,0.668598769632975,17091.944458512004,12118.235961582823,13672.990052674606
FT2342,342.986736191056,3.2270070393880164,4101.519723646506,287.4541532272732,1656.0025021221934
FT2343,343.212435364296,0.9678511937459316,22788.92575690393,24826.962855787962,19364.67732658274
FT2346,343.99495889541,5.905233333333,4925.098824918643,2923.575701495364,2910.0065140357087
FT2347,344.043070377441,0.6686,25859.474576583136,11765.725403088021,17014.067249566
FT2348,344.100930244246,5.47300029500325,4286.806975558615,3987.234099228696,3333.2180265946113
FT2349,344.214969472791,0.9984777793882617,5095.823361596209,3536.344395502454,3710.948124666813
FT2350,344.285693176108,0.818232917785645,9938.204903018643,6625.251190412054,7706.310939916546
FT2353,345.011915718842,4.359041341145834,5298.985780024042,3935.2875538365406,4021.887206603327
FT2354,345.046650686648,0.6963826815287266,4649.223649375032,3814.5474676455083,3175.1768461458223
FT2355,345.226214269863,1.0011014302571617,7348.975670023756,9304.2040250112,8658.726639098168
FT2357,345.276413666438,0.818232917785645,15802.453922977098,11812.577451809935,11088.0478855868
FT2359,346.05746081422,6.071474875895183,6023.060774126921,4913.176766485043,2511.9388809394145
FT2360,346.118443459823,3.36016794840495,3547.5249315234096,3147.988483269925,3152.2388174289345
FT2361,346.91526884291,13.120149739583333,4278.238477841332,4346.078453330327,3340.6804846953146
FT2363,347.08430175792,5.173796590169267,7976.690777143844,8141.510901604628,9638.592430567493
FT2364,347.163715147361,1.1174687703450517,8363.183273961913,8981.596064896767,8422.909293664356
FT2366,347.279230914263,0.9844673090618533,16085.722701207193,13033.315234191163,12277.687909841623
