Row.names,mz,mzmin,mzmax,rt,rtmed,rtmin,rtmax,npeaks,X1,ms_level,control_1.mzML,control_2.mzML,control_3.mzML
FT2637,339.9040177,339.9039908,339.9040446,17.567925,1054.0755,1053.074,1055.077,2,2,1,775557.3862,759710.3553,856583.4696
FT2638,339.9037424,339.9036276,339.9038572,3.127333333,187.64,186.183,189.097,2,2,1,922742.9036,688769.1731,698697.0972
FT2639,339.9038908,339.9036356,339.9041459,23.824225,1429.4535,1427.474,1431.433,2,2,1,230065.0283,291068.0511,559873.934
FT2640,340.2031838,340.2027356,340.2031964,0.801733333,48.104,48.079,48.148,3,3,1,428517.6847,220900.6835,208540.0066
FT2641,340.1259465,340.1257338,340.1261175,3.267483333,196.049,195.082,196.114,3,3,1,26940.35713,28296.72819,30269.5059
FT2642,340.2860528,340.285914,340.2861916,0.942208333,56.5325,56.049,57.016,2,2,1,12793.9364,8920.450115,11078.26516
FT2643,340.8586943,340.8585972,340.8588345,12.4038,744.228,743.292,744.241,3,3,1,27956.51412,22533.45864,21496.2154
FT2644,340.8142985,340.8142276,340.8147539,12.58681667,755.209,755.151,756.158,3,3,1,44789.47698,40787.1487,27130.32599
FT2645,340.9677238,340.9676989,340.9681103,8.068333333,484.1,484.061,485.037,3,3,1,39140.05248,15056.12022,18005.80382
FT2646,340.9928591,340.9928521,340.9928694,8.795916667,527.755,527.739,527.796,3,3,1,62742.7063,61972.86114,39888.03643
FT2647,341.0028999,341.0026495,341.003172,6.959416667,417.565,417.507,418.519,3,3,1,61682.32593,51778.73925,39953.67519
FT2648,341.1715055,341.1714098,341.1718589,5.320233333,319.214,319.191,319.252,3,3,1,194330.4412,170747.2973,127218.9116
FT2649,341.1600042,341.1598037,341.2297323,0.975891667,58.5535,55.03,60,4,3,1,77863.04275,63103.8985,83100.7291
FT2650,341.1497441,341.1492808,341.1502189,6.115316667,366.919,366.861,368.866,3,3,1,9984.602377,12916.84412,11317.89191
FT2651,341.1976773,341.1937964,341.1994747,0.801733333,48.104,48.079,51.127,3,3,1,142710.7558,79923.75867,90188.34311
FT2652,341.1181975,341.1178469,341.1185482,4.194575,251.6745,251.663,251.686,2,2,1,61418.48844,45355.9096,23977.21468
FT2653,341.280741,341.2804422,341.2809264,1.249333333,74.96,74.917,75.889,3,3,1,21175.81821,21542.52818,24426.12474
FT2654,341.2695084,341.2694406,341.2698396,0.818283333,49.097,49.072,49.141,3,3,1,37427.94739,36790.04707,37611.39783
FT2655,341.3046499,341.3046324,341.3050103,0.950266667,57.016,56.049,57.085,3,3,1,23880.36604,25112.7391,21815.52845
FT2656,342.0438353,342.0438334,342.0446643,9.78965,587.379,586.345,588.314,3,3,1,18128.34714,14665.89621,10329.24876
FT2657,342.2282721,342.2003765,342.2286584,0.909466667,54.568,54.062,55.099,4,3,1,11482.50972,21559.11644,14935.94828
FT2658,342.174998,342.174761,342.1750441,5.320233333,319.214,319.191,319.252,3,3,1,36371.28117,36524.78705,24595.91451
FT2659,342.120334,342.1202847,342.1206224,5.071583333,304.295,303.363,304.318,3,3,1,76929.40929,45993.15376,24686.97088
FT2660,342.1665361,342.1662392,342.1666199,1.331033333,79.862,78.889,79.926,3,3,1,67438.27623,48644.90655,46675.98404
FT2661,342.1331388,342.1331341,342.1331619,2.2755,136.53,132.514,137.459,3,3,1,54653.80602,53435.68465,44499.1599
FT2662,342.146608,342.1313066,342.1619094,1.008816667,60.529,60.065,60.993,2,2,1,10400.37699,12181.82871,NA
FT2663,342.2692936,342.2687184,342.270108,0.818283333,49.097,49.072,49.141,3,3,1,9928.493227,11201.30465,10157.13224
FT2664,342.8253401,342.8251535,342.8254716,12.47096667,748.258,748.2,749.207,3,3,1,208761.649,114955.2679,119470.346
FT2665,342.9389859,342.9388521,342.9392298,8.349733333,500.984,500.942,501.92,3,3,1,1258303.379,1466054.874,1288581.945
FT2666,343.0200998,343.020045,343.0202358,6.876016667,412.561,412.541,412.6,3,3,1,554770.6056,476641.9655,330936.0917
FT2667,343.0916646,343.0907843,343.0916993,6.792933333,407.576,406.602,407.634,3,3,1,13706.7618,11327.98776,14494.07107
FT2668,343.0993468,343.0988898,343.0993743,5.535383333,332.123,332.1,332.162,3,3,1,141542.6744,55755.81861,64727.59878
FT2669,343.0543751,343.052785,343.0549074,0.636216667,38.173,38.148,39.21,3,3,1,19854.31815,15345.76827,19533.31918
FT2670,343.1704719,343.1361051,343.2116219,0.93415,56.049,51.083,61.058,10,3,1,240656.0671,217950.864,46011.81591
FT2671,343.1275171,343.1272061,343.127699,6.69395,401.637,401.618,401.676,3,3,1,30283.12402,24589.36969,17625.52549
FT2672,343.3207595,343.3204361,343.3208385,0.93415,56.049,56.023,56.092,3,3,1,15049.15378,17286.04151,12058.91897
FT2673,343.2488955,343.248728,343.249063,0.8429,50.574,50.09,51.058,2,2,1,9514.544716,9769.722918,13937.1092
FT2674,343.9426128,343.9425411,343.9427943,8.349733333,500.984,500.942,501.92,3,3,1,65250.46095,69359.56246,66726.84948
FT2675,344.0385031,344.0384963,344.0386438,6.991866667,419.512,419.493,419.551,3,3,1,94189.97924,18222.62591,38260.19315
FT2676,344.0247516,344.0245135,344.0249677,6.876016667,412.561,412.541,412.6,3,3,1,34709.65365,30731.6878,21054.61336
FT2677,344.1023034,344.1021232,344.1024836,5.452441667,327.1465,327.135,327.158,2,2,1,36412.40454,5433.418897,22767.64913
FT2678,344.040281,344.0399487,344.0406133,0.644283333,38.657,38.173,39.141,2,2,1,19483.5861,12133.76604,16471.83845
FT2679,344.1736242,344.1369794,344.2150893,0.933716667,56.023,51.127,57.042,6,3,1,7732.223866,64181.13814,77320.32075
FT2680,344.146081,344.1460646,344.1461804,2.67165,160.299,156.352,160.364,3,3,1,222055.4149,213082.7736,166119.2402
FT2681,344.181034,344.1808305,344.1812376,1.124675,67.4805,66.952,68.009,2,2,1,17810.0202,12645.10552,13058.61921
FT2682,344.2443341,344.2439325,344.2447358,0.893125,53.5875,53.069,54.106,2,2,1,5457.20983,11631.95663,8420.258037
FT2683,344.8238408,344.8237736,344.8238462,12.47,748.2,747.265,749.207,3,3,1,45229.3589,25924.27029,27730.36973
