,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML,example_data_for_colab/xcms_example_data//blank-2_6540.mzML,uniqueIon,example_data_for_colab.xcms_example_data..B1_NIST1950_1_6540.mzML,example_data_for_colab.xcms_example_data..B1_NIST1950_2_6540.mzML,example_data_for_colab.xcms_example_data..B1_NIST1950_3_6540.mzML,example_data_for_colab.xcms_example_data..blank.2_6540.mzML
2990,438.12267409687263,1.056116666667,10575.408813230151,6744.614302295172,7544.992015798614,3372.307151147586,True,,,,
2995,438.3620958989951,0.756116666667,12096.732892000862,9454.540450067623,7839.497602013311,3919.7488010066554,True,,,,
2996,438.3620958989951,0.8561166666669999,11882.360453120782,9186.374241525633,7371.788170757789,3685.8940853788945,True,,,,
3003,439.2919859652104,1.056116666667,8320.592647150896,4442.243936140499,6036.896637329754,2221.1219680702493,True,,,,
3005,439.342956494952,0.856116666667,83047.46611315735,74024.07317770971,67474.5722198947,33737.28610994735,True,83047.4661131574,74024.0731777097,67474.5722198947,33737.2861099474
3006,439.3735276739415,0.8561166666669999,10715.997991981814,11993.695195938417,4130.374370751634,2065.187185375817,True,,,,
3012,440.346028681949,0.756116666667,24156.98608058731,19027.121938939003,20944.541105895794,9513.560969469501,True,,,,
3022,441.3543440717593,0.756116666667,24259.67012273848,22868.27111158568,18706.791957723097,9353.395978861548,True,,,,
3027,442.3609044617606,0.756116666667,2087.32891271933,3195.87911747022,2252.9994988070766,1043.664456359665,True,,,,
3028,442.863573797125,13.05611666666697,6131.564360992218,7963.557503083323,5938.265935631943,2969.1329678159714,True,,,,
3030,443.15567660177766,1.4561166666670002,55243.47767882806,48336.5461311667,47003.2707055651,571.0743795328526,True,,,,
3073,450.17599797508456,0.956116666667,10479.651388173254,9324.802147819695,9973.193933554096,4662.401073909848,True,,,,
3080,450.84605912689887,13.05611666666697,1437.1512817457597,882.3544254082544,1684.3418656207546,441.1772127041272,True,,,,
3085,451.33908597849097,0.756116666667,20136.22049630303,6589.706772207288,17858.71184322263,3294.853386103644,True,,,,
3086,451.33908597849097,0.8561166666669999,19520.18260475272,5939.368580466971,16799.814952406203,2969.6842902334856,True,,,,
3087,451.36636281649896,0.756116666667,51453.37584885761,48387.51328423647,45402.11575728387,22701.057878641936,True,,,,
3100,453.3036480171766,0.956116666667,6744.7014710428575,4225.378221065943,3382.393175415572,1691.196587707786,True,,,,
